cBreed,cLat,cLon,dBreed,dLat,dLon
"Russian White, Black, and Tabby",-25.274398,133.775136,Affenpinscher,46.227638,2.213749
Brazilian Shorthair,-14.235004,-51.92528,Affenpinscher,51.165691,10.451526
Burmese,21.95451,96.093292,Afghan Hound,33.93911,67.709953
Cymric,56.130366,-106.346771,Airedale Terrier,55.378051,-3.435973
Foldex,56.130366,-106.346771,Akita,36.204824,138.252924
Sphynx,56.130366,-106.346771,Alaskan Malamute,37.09024,-95.712891
Tonkinese,56.130366,-106.346771,Alpine Dachsbracke,47.516231,14.550072
Cyprus,35.126413,33.429859,American Akita,37.09024,-95.712891
Egyptian Mau,26.820553,30.802498,American Cocker Spaniel,37.09024,-95.712891
Cornish Rex,55.378051,-3.435973,American Foxhound,37.09024,-95.712891
Devon Rex,55.378051,-3.435973,American Staffordshire Terrier,37.09024,-95.712891
Abyssinian,9.145,40.489673,American Water Spaniel,37.09024,-95.712891
Siamese (modern),55.378051,-3.435973,Anatolian Shepherd Dog,38.963745,35.243322
European Shorthair,61.92411,25.748151,Andalusian Hound,40.463667,-3.74922
Birman,46.227638,2.213749,Anglo-Français de Petite Vénerie,46.227638,2.213749
Chartreux,46.227638,2.213749,Appenzeller Sennenhund,46.818188,8.227512
Chausie,46.227638,2.213749,Argentine Polar Dog,-38.416097,-63.616672
German Rex,51.165691,10.451526,Ariegeois,46.227638,2.213749
Aegean,39.074208,21.824312,Armant,26.820553,30.802498
Persian (traditional),32.427908,53.688046,Armenian Gampr dog,40.069099,45.038189
Manx,54.145,-4.482,Artois Hound,46.227638,2.213749
Japanese Bobtail,36.204824,138.252924,Australian Cattle Dog,-25.274398,133.775136
Kurilian Bobtail,36.204824,138.252924,Australian Kelpie,-25.274398,133.775136
Kurilian Bobtail,36.204824,138.252924,Australian Shepherd,37.09024,-95.712891
Sokoke,-0.023559,37.906193,Australian Stumpy Tail Cattle ,-25.274398,133.775136
Norwegian Forest Cat,60.472024,8.468946,Australian Terrier,-25.274398,133.775136
Karelian Bobtail,61.52401,105.318756,Austrian Black and Tan Hound,47.516231,14.550072
Mekong Bobtail,61.52401,105.318756,Austrian Pinscher,47.516231,14.550072
Russian Blue,61.52401,105.318756,Azawakh,17.570692,-3.996166
Siberian,61.52401,105.318756,Bakharwal dog,20.593684,78.96288
Scottish Fold,56.913689,-4.162926,Barbado da Terceira ,39.399872,-8.224454
Somali,45.302026,2.046504,Barbet,46.227638,2.213749
Khao Manee,15.870032,100.992541,Basenji,-0.228021,15.827659
Korat,15.870032,100.992541,Basque Shepherd Dog,40.463667,-3.74922
Siamese (traditional),15.870032,100.992541,Basset Artésien Normand,46.227638,2.213749
Turkish Angora,38.963745,35.243322,Basset Bleu de Gascogne,46.227638,2.213749
Turkish Van,38.963745,35.243322,Basset Fauve de Bretagne,46.227638,2.213749
British Longhair,55.378051,-3.435973,Basset Hound,46.227638,2.213749
British Shorthair,55.378051,-3.435973,Bavarian Mountain Hound,51.165691,10.451526
Burmilla,55.378051,-3.435973,Beagle,55.378051,-3.435973
Havana Brown,55.378051,-3.435973,Beagle-Harrier,46.227638,2.213749
Himalayan,55.378051,-3.435973,Bearded Collie,57.167212,-4.301964
American Bobtail,37.09024,-95.712891,Beauceron,46.227638,2.213749
American Curl,37.09024,-95.712891,Bedlington Terrier,55.378051,-3.435973
American Shorthair,37.09024,-95.712891,Belgian Shepherd Dog (Groenendael),50.503887,4.469936
