dogBreed,dCountry,catBreed,cCountry
Affenpinscher,Germany,Abyssinian,Ethiopia
Affenpinscher,France,Aegean,Greece
Afghan Hound,Afghanistan,American Bobtail,United States
Airedale Terrier,United Kingdom,American Curl,United States
Akita,Japan,American Shorthair,United States
Alaskan Malamute,United States,American Wirehair,United States
Alpine Dachsbracke,Austria,Balinese,United States
American Akita,United States,Bengal,United States
American Cocker Spaniel,United States,Birman,France
American Foxhound,United States,Bombay,United States
American Staffordshire Terrier,United States,Brazilian Shorthair,Brazil
American Water Spaniel,United States,British Longhair,United Kingdom
Anatolian Shepherd Dog,Turkey,British Shorthair,United Kingdom
Andalusian Hound,Spain,Burmese,Burma
Anglo-Français de Petite Vénerie,France,Burmilla,United Kingdom
Appenzeller Sennenhund,Switzerland,California Spangled,United States
Argentine Polar Dog,Argentina ,Chantilly-Tiffany,United States
Ariegeois,France,Chartreux,France
Armant,Egypt,Chausie,France
Armenian Gampr dog,Armenia,Cornish Rex,England
Artois Hound,France,Cymric,Canada
Australian Cattle Dog,Australia,Cyprus,Cyprus
Australian Kelpie,Australia,Devon Rex,England
Australian Shepherd,United States,Egyptian Mau,Egypt
Australian Stumpy Tail Cattle Dog[10],Australia,European Shorthair,Finland and Sweden
Australian Terrier,Australia,Exotic Shorthair,United States
Austrian Black and Tan Hound,Austria,Foldex,Canada
Austrian Pinscher,Austria,German Rex,Germany
Azawakh,Mali,Havana Brown,United Kingdom
Bakharwal dog,India,Himalayan,United Kingdom
Barbado da Terceira ,Portugal ,Japanese Bobtail,Japan
Barbet,France,Javanese,United States
Basenji,Congo(Republic),Karelian Bobtail,Russia
Basque Shepherd Dog,Spain,Khao Manee,Thailand
Basset Artésien Normand,France,Korat,Thailand
Basset Bleu de Gascogne,France,Kurilian Bobtail,Japan
Basset Fauve de Bretagne,France,Kurilian Bobtail,Japan
Basset Hound,France,LaPerm,United States
Bavarian Mountain Hound,Germany,Lykoi,United States
Beagle,United Kingdom,Maine Coon,United States
Beagle-Harrier,France,Manx,Isle of Man
Bearded Collie,Scotland,Mekong Bobtail,Russia
Beauceron,France,Minskin,United States
Bedlington Terrier,United Kingdom,Munchkin,United States
Belgian Shepherd Dog (Groenendael),Belgium,Nebelung,United States
Belgian Shepherd Dog (Laekenois),Belgium,Norwegian Forest Cat,Norway
Belgian Shepherd Dog (Malinois),Belgium,Ocicat,United States
Belgian Shepherd Dog (Tervuren),Belgium,Ojos Azules,United States
Bergamasco Shepherd,Italy,Oregon Rex,United States
Berger Blanc Suisse,Switzerland,Persian (traditional),Iran
Berger Picard,France,Pixie-bob,United States
Bernese Mountain Dog,Switzerland,Ragamuffin,United States
Bichon Frisé,Spain,Russian Blue,Russia
Billy,France,"Russian White, Black, and Tabby",Australia
Black and Tan Coonhound,United States,Savannah,United States
Black and Tan Virginia Foxhound,United States,Scottish Fold,Scotlland
Black Norwegian Elkhound,Norway,Selkirk Rex,United States
Black Russian Terrier,Russia,Serengeti,United States
Black Mouth Cur,United States,Siamese (modern),United States
Bloodhound,Belgium,Siamese (modern),Europe
Bloodhound,France,Siberian,Russia
Blue Heeler,Australia,Singapura,United States
Blue Lacy,United States,Snowshoe,United States
Blue Paul Terrier,Scotland,Sokoke,Kenya
Blue Picardy Spaniel,France,Somali,Somalia
Bluetick Coonhound,United States,Sphynx,Canada
Boerboel,South Africa,Siamese (traditional),Thailand
Bohemian Shepherd,Czech Republic,Tonkinese,Canada
Bolognese,Italy,Turkish Angora,Turkey
Border Collie,United Kingdom,Turkish Van,Turkey
Border Terrier,United Kingdom,York Chocolate,United States
Borzoi,Russia,,
Bosnian Coarse-haired Hound,Bosnia and Herzegovina,,
Boston Terrier,United States,,
Bouvier des Ardennes,Belgium,,
Bouvier des Flandres,Belgium,,
Boxer,Germany,,
Boykin Spaniel,United States,,
Bracco Italiano,Italy,,
Braque d'Auvergne,France,,
Braque de l'Ariege,France,,
Braque du Bourbonnais,France,,
Braque du Puy,France,,
Braque Francais,France,,
Braque Saint-Germain,France,,
Brazilian Dogo,Brazil,,
Brazilian Terrier,Brazil,,
Briard,France,,
Briquet Griffon Vendéen,France,,
Brittany,France,,
Broholmer,Denmark,,
Bruno Jura Hound,Switzerland,,
Bruno Jura Hound,France,,
Brussels Griffon,Belgium,,
Bucovina Shepherd Dog,Romania,,
Bull Terrier,United Kingdom,,
Bulldog,United Kingdom,,
Bullenbeisser,Germany,,
Bullmastiff,United Kingdom,,
Bully Kutta,Pakistan,,
Bully Kutta,India,,
Burgos Pointer,Spain,,
Cairn Terrier,Scotland,,
Canaan Dog,Israel,,
Canadian Eskimo Dog,Canada,,
Cane Corso,Italy,,
Cantabrian Water Dog,Spain,,
Cão da Serra de Aires,Portugal,,
Cão de Castro Laboreiro,Portugal,,
Cão de Gado Transmontano,Portugal,,
Cão Fila de São Miguel,Portugal,,
Carolina Dog,United States,,
Carpathian Shepherd Dog,Romania,,
Catalan Sheepdog,Spain,,
Caucasian Shepherd Dog,Georgia,,
Cavalier King Charles Spaniel,United Kingdom,,
Central Asian Shepherd Dog,Russia,,
Cesky Fousek,Czech Republic,,
Cesky Terrier,Czech Republic,,
Chesapeake Bay Retriever,United States,,
Chien Français Blanc et Noir,France,,
Chien Français Blanc et Orange,France,,
Chien Français Tricolore,France,,
Chien-gris,France,,
Chihuahua,Mexico,,
Chilean Terrier,Chile,,
Chinese Chongqing Dog,China,,
Chinese Crested Dog,Central America,,
Chinese Imperial Dog,China,,
Chinook,United States,,
