country,longitude,latitude
Afghanistan,33.93911,67.709953
Argentina,-38.416097,-63.616672
Armenia,40.069099,45.038189
Australia,-25.274398,133.775136
Austria,47.516231,14.550072
Azerbaijan,40.143105,47.576927
Belgium,50.503887,4.469936
Bosnia and Herzegovina,43.915886,17.679076
Brazil,-14.235004,-51.92528
Bulgaria,42.733883,25.48583
Canada,56.130366,-106.346771
Central America,13.575425,-85.820149
Chile,-35.675147,-71.542969
China,35.86166,104.195397
Colombia,4.570868,-74.297333
Croatia,45.1,15.2
Cuba,21.521757,-77.781167
Cyprus,35.126413,33.429859
Czech Republic,49.817492,15.472962
Congo [Republic],-0.228021,15.827659
Denmark,56.26392,9.501785
Egypt,26.820553,30.802498
United Kingdom,55.378051,-3.435973
Estonia,58.595272,25.013607
Ethiopia,9.145,40.489673
Finland,61.92411,25.748151
France,46.227638,2.213749
Georgia,42.315407,43.356892
Germany,51.165691,10.451526
Greece,39.074208,21.824312
Greenland,71.706936,-42.604303
Guatemala,15.783471,-90.230759
Hungary,47.162494,19.503304
Iceland,64.963051,-19.020835
India,20.593684,78.96288
Indonesia,-0.789275,113.921327
Iran,32.427908,53.688046
Ireland,53.41291,-8.24389
Italy,41.87194,12.56738
Japan,36.204824,138.252924
Kenya,-0.023559,37.906193
Korea,38.140077,127.489685
Kyrgyzstan,41.20438,74.766098
Lithuania,55.169438,23.881275
Madagascar,-18.766947,46.869107
Malaysia,4.210484,101.975766
Mali,17.570692,-3.996166
Malta,35.937496,14.375416
Mexico,23.634501,-102.552784
Middle East,29.733931,40.293571
Montenegro,42.708678,19.37439
Morocco,31.791702,-7.09262
Nepal,28.394857,84.124008
Netherlands,52.132633,5.291266
New Zealand,-40.900557,174.885971
North Korea,40.339852,127.510093
Norway,60.472024,8.468946
Pakistan,30.375321,69.345116
Peru,-9.189967,-75.015152
Poland,51.919438,19.145136
Portugal,39.399872,-8.224454
Puerto Rico,18.220833,-66.590149
Romania,45.943161,24.96676
Russia,61.52401,105.318756
Scandinavia,63.874334,16.948939
Scotland,57.167212,-4.301964
Serbia,44.016521,21.005859
Slovakia,48.669026,19.699024
Slovenia,46.151241,14.995463
South Africa,-30.559482,22.937506
South Korea,35.907757,127.766922
Spain,40.463667,-3.74922
Sri Lanka,7.873054,80.771797
Sweden,60.128161,18.643501
Switzerland,46.818188,8.227512
Tahiti,-17.653845,-149.438739
Taiwan,23.69781,120.960515
Thailand,15.870032,100.992541
Tibet,33.329499,88.216532
Turkey,38.963745,35.243322
Ukraine,48.379433,31.16558
United Kingdom,55.378051,-3.435973
United States,37.09024,-95.712891
Uruguay,-32.522779,-55.765835
Venezuela,6.42375,-66.58973
Vietnam,14.058324,108.277199
Zimbabwe,-19.015438,29.154857
