dogBreed,dCountry,dLon,dLat,catBreed,cCountry,cLon,cLat
Affenpinscher,France,46.227638,2.213749,"Russian White, Black, and Tabby",Australia,-25.274398,133.775136
Affenpinscher,Germany,51.165691,10.451526,Brazilian Shorthair,Brazil,-14.235004,-51.92528
Afghan Hound,Afghanistan,33.93911,67.709953,Burmese,Myanmar,96.093292,21.95451
Airedale Terrier,United Kingdom,55.378051,-3.435973,Cymric,Canada,56.130366,-106.346771
Akita,Japan,36.204824,138.252924,Foldex,Canada,56.130366,-106.346771
Alaskan Malamute,United States,37.09024,-95.712891,Sphynx,Canada,56.130366,-106.346771
Alpine Dachsbracke,Austria,47.516231,14.550072,Tonkinese,Canada,56.130366,-106.346771
American Akita,United States,37.09024,-95.712891,Cyprus,Cyprus,35.126413,33.429859
American Cocker Spaniel,United States,37.09024,-95.712891,Egyptian Mau,Egypt,26.820553,30.802498
American Foxhound,United States,37.09024,-95.712891,Cornish Rex,United Kingdom,55.378051,-3.435973
American Staffordshire Terrier,United States,37.09024,-95.712891,Devon Rex,United Kingdom,55.378051,-3.435973
American Water Spaniel,United States,37.09024,-95.712891,Abyssinian,Ethiopia,9.145,40.489673
Anatolian Shepherd Dog,Turkey,38.963745,35.243322,Siamese (modern),Europe,55.378051,-3.435973
Andalusian Hound,Spain,40.463667,-3.74922,European Shorthair,Finland,61.92411,25.748151
Anglo-Français de Petite Vénerie,France,46.227638,2.213749,Birman,France,46.227638,2.213749
Appenzeller Sennenhund,Switzerland,46.818188,8.227512,Chartreux,France,46.227638,2.213749
Argentine Polar Dog,Argentina ,-38.416097,-63.616672,Chausie,France,46.227638,2.213749
Ariegeois,France,46.227638,2.213749,German Rex,Germany,51.165691,10.451526
Armant,Egypt,26.820553,30.802498,Aegean,Greece,39.074208,21.824312
Armenian Gampr dog,Armenia,40.069099,45.038189,Persian (traditional),Iran,32.427908,53.688046
Artois Hound,France,46.227638,2.213749,Manx,Isle of Man,-4.482,54.145
Australian Cattle Dog,Australia,-25.274398,133.775136,Japanese Bobtail,Japan,36.204824,138.252924
Australian Kelpie,Australia,-25.274398,133.775136,Kurilian Bobtail,Japan,36.204824,138.252924
Australian Shepherd,United States,37.09024,-95.712891,Kurilian Bobtail,Japan,36.204824,138.252924
Australian Stumpy Tail Cattle ,Australia,-25.274398,133.775136,Sokoke,Kenya,-0.023559,37.906193
Australian Terrier,Australia,-25.274398,133.775136,Norwegian Forest Cat,Norway,60.472024,8.468946
Austrian Black and Tan Hound,Austria,47.516231,14.550072,Karelian Bobtail,Russia,61.52401,105.318756
Austrian Pinscher,Austria,47.516231,14.550072,Mekong Bobtail,Russia,61.52401,105.318756
Azawakh,Mali,17.570692,-3.996166,Russian Blue,Russia,61.52401,105.318756
Bakharwal dog,India,20.593684,78.96288,Siberian,Russia,61.52401,105.318756
Barbado da Terceira ,Portugal ,39.399872,-8.224454,Scottish Fold,Scotland,-4.162926,56.913689
Barbet,France,46.227638,2.213749,Somali,Somalia,45.302026,2.046504
Basenji,Congo(Republic),-0.228021,15.827659,Khao Manee,Thailand,15.870032,100.992541
Basque Shepherd Dog,Spain,40.463667,-3.74922,Korat,Thailand,15.870032,100.992541
Basset Artésien Normand,France,46.227638,2.213749,Siamese (traditional),Thailand,15.870032,100.992541
Basset Bleu de Gascogne,France,46.227638,2.213749,Turkish Angora,Turkey,38.963745,35.243322
Basset Fauve de Bretagne,France,46.227638,2.213749,Turkish Van,Turkey,38.963745,35.243322
Basset Hound,France,46.227638,2.213749,British Longhair,United Kingdom,55.378051,-3.435973
Bavarian Mountain Hound,Germany,51.165691,10.451526,British Shorthair,United Kingdom,55.378051,-3.435973
Beagle,United Kingdom,55.378051,-3.435973,Burmilla,United Kingdom,55.378051,-3.435973
Beagle-Harrier,France,46.227638,2.213749,Havana Brown,United Kingdom,55.378051,-3.435973
Bearded Collie,Scotland,57.167212,-4.301964,Himalayan,United Kingdom,55.378051,-3.435973
Beauceron,France,46.227638,2.213749,American Bobtail,United States,37.09024,-95.712891
Bedlington Terrier,United Kingdom,55.378051,-3.435973,American Curl,United States,37.09024,-95.712891
Belgian Shepherd Dog (Groenendael),Belgium,50.503887,4.469936,American Shorthair,United States,37.09024,-95.712891
Belgian Shepherd Dog (Laekenois),Belgium,50.503887,4.469936,American Wirehair,United States,37.09024,-95.712891
Belgian Shepherd Dog (Malinois),Belgium,50.503887,4.469936,Balinese,United States,37.09024,-95.712891
Belgian Shepherd Dog (Tervuren),Belgium,50.503887,4.469936,Bengal,United States,37.09024,-95.712891
Bergamasco Shepherd,Italy,41.87194,12.56738,Bombay,United States,37.09024,-95.712891
Berger Blanc Suisse,Switzerland,46.818188,8.227512,California Spangled,United States,37.09024,-95.712891
Berger Picard,France,46.227638,2.213749,Chantilly-Tiffany,United States,37.09024,-95.712891
Bernese Mountain Dog,Switzerland,46.818188,8.227512,Exotic Shorthair,United States,37.09024,-95.712891
Bichon Frisé,Spain,40.463667,-3.74922,Javanese,United States,37.09024,-95.712891
Billy,France,46.227638,2.213749,LaPerm,United States,37.09024,-95.712891
Black and Tan Coonhound,United States,37.09024,-95.712891,Lykoi,United States,37.09024,-95.712891
Black and Tan Virginia Foxhound,United States,37.09024,-95.712891,Maine Coon,United States,37.09024,-95.712891
Black Mouth Cur,United States,37.09024,-95.712891,Minskin,United States,37.09024,-95.712891
Black Norwegian Elkhound,Norway,60.472024,8.468946,Munchkin,United States,37.09024,-95.712891
Black Russian Terrier,Russia,61.52401,105.318756,Nebelung,United States,37.09024,-95.712891
Bloodhound,Belgium,50.503887,4.469936,Ocicat,United States,37.09024,-95.712891
Bloodhound,France,46.227638,2.213749,Ojos Azules,United States,37.09024,-95.712891
Blue Heeler,Australia,-25.274398,133.775136,Oregon Rex,United States,37.09024,-95.712891
Blue Lacy,United States,37.09024,-95.712891,Pixie-bob,United States,37.09024,-95.712891
Blue Paul Terrier,Scotland,57.167212,-4.301964,Ragamuffin,United States,37.09024,-95.712891
Blue Picardy Spaniel,France,46.227638,2.213749,Savannah,United States,37.09024,-95.712891
Bluetick Coonhound,United States,37.09024,-95.712891,Selkirk Rex,United States,37.09024,-95.712891
Boerboel,South Africa,-30.559482,22.937506,Serengeti,United States,37.09024,-95.712891
Bohemian Shepherd,Czech Republic,49.817492,15.472962,Siamese (modern),United States,37.09024,-95.712891
